"publication_version_id","publication_id","doi","title","abstract","description","Tags","Authors"
"104","1101","10.4231/D3WW7702P","InfoSEAD protocol and sample memo","Includes a description of the InfoSEAD protocol and an example of how a document can be analyzed using the protocol.","<p>The Information Seeking, Evaluation, Application, and Documentation (InfoSEAD) protocol was developed to assess four areas of student information skills. &#39;&#39;&#39;Seeking:&#39;&#39;&#39; measuring the quantity and variety of information sources used by students &#39;&#39;&#39;Evaluation:&#39;&#39;&#39; identifying the frequency of high-quality information sources used by students &#39;&#39;&#39;Application:&#39;&#39;&#39; how well students use documented information to support an argument &#39;&#39;&#39;Documentation:&#39;&#39;&#39; completeness and accuracy in citation and appropriateness of referencing in the text</p>","assessment, education, information literacy, library science","Ruth Wertz, Michael Fosmire, Senay Purzer, Monica E. Cardella"
"111","1107","10.4231/D3DR2P83H","Statistical Potential based Amino Acid Similarity Matrices for Aligning Distantly Related Protein Sequences","Supplementary materials for the paper: Statistical Potential based Amino Acid Similarity Matrices for Aligning Distantly Related Protein Sequences. Proteins: Structure, Function and Bioinformatics 64: 587-600. (2006)","<p>Aligning distantly related protein sequences is a long-standing problem in bioinformatics, and a key for successful protein structure prediction. Its importance is increasing recently in the context of structural genomics projects because more and more experimentally solved structures are available as templates for protein structure modeling. Toward this end, recent structure prediction methods employ profile-profile alignments, and various ways of aligning two profiles have been developed. More fundamentally, a better amino acid similarity matrix can improve a profile itself; thereby resulting in more accurate profile-profile alignments. Here we have developed novel amino acid similarity matrices from knowledge-based amino acid contact potentials. Contact potentials are used because the contact propensity to the other amino acids would be one of the most conserved features of each position of a protein structure. The derived amino acid similarity matrices are tested on benchmark alignments at three different levels, namely, the family, the superfamily, and the fold level. Compared to BLOSUM45 and the other existing matrices, the contact potential-based matrices perform comparably in the family level alignments, but clearly outperform in the fold level alignments. The contact potential-based matrices perform even better when suboptimal alignments are considered. Comparing the matrices themselves with each other revealed that the contact potential-based matrices are very different from BLOSUM45 and the other matrices, indicating that they are located in a different basin in the amino acid similarity matrix space.</p>","amino acids/chemistry, biochemistry, bioinformatics, molecular biosciences, protein folding","H. Huang, Daisuke Kihara, Y.H. Tan"
"513","1111","10.4231/D39K45S8J","Linking Pressure and Saturation through Interfacial Areas in Porous Media","Supplementary materials for the paper:  Cheng, J.-T., L. J. Pyrak-Nolte, D. D. Nolte, and N. J. Giordano (2004), Linking pressure and saturation through interfacial areas in porous media, Geophys. Res. Lett., 31, L08502, doi:10.1029/2003GL019282.","<p>Using transparent microfluidic cells to study the two-phase properties of a synthetic porous medium, we establish that the interfacial area per volume between nonwetting and wetting fluids lifts the ambiguity associated with the hysteretic relationship between capillary pressure and saturation in porous media. The interface between the nonwetting and wetting phases is composed of two subsets: one with a unique curvature determined by the capillary pressure, and the other with a distribution of curvatures dominated by disjoining pressure. This work provides experimental support for recent theoretical predictions that the capillary-dominated subset plays a role analogous to a state variable. Any comprehensive description of multiphase flow properties must include this interfacial area with the traditional variables of pressure and fluid saturation. Also provides the supplementary data for Joekar Niasar, V., S. M. Hassanizadeh, L. J. Pyrak-Nolte, and C. Berentsen (2009), Simulating drainage and imbibition experiments in a high-porosity micromodel using an unstructured pore network model, Water Resour. Res., 45, W02430, doi:[http://dx.doi.org.ezproxy.lib.purdue.edu/10.1029/2007WR006641 10.1029/2007WR006641]. Development of pore network models based on detailed topological data of the pore space is essential for predicting multiphase flow in porous media. In this work, an unstructured pore network model has been developed to simulate a set of drainage and imbibition laboratory experiments performed on a two-dimensional micromodel. We used a pixel-based distance transform to determine medial pixels of the void domain of micromodel. This process provides an assembly of medial pixels with assigned local widths that simulates the topology of the porous medium. Using this pore network model, the capillary pressure-saturation and capillary pressure-interfacial area curves measured in the laboratory under static conditions were simulated. On the basis of several imbibition cycles, a surface of capillary pressure, saturation and interfacial area was produced. The pore network model was able to reproduce the distribution of the fluids as observed in the micromodel experiments. We have shown the utility of this simple pore network approach for capturing the topology and geometry of the micromodel pore structure.</p>","drainage, physics","V. Niasar, S. Hassanizadeh, Laura J. Pyrak-Nolte, C. Berentsen"
"119","1114","10.4231/D3ZC7RT9G","Measurement of Interfacial Area per Volume for Drainage and Imbibition - S6dc","Supplementary materials for the paper: Measurement of interfacial area per volume for drainage and imbibition, Water Resour. Res., 43, W12504, 2007, doi:10.1029/2007WR006021.","<p>We investigate experimentally the functional relationship between capillary pressure, Pc, wetting phase saturation, Sw, and interfacial area per volume between the wetting and nonwetting phases, awn, for drainage and imbibition processes in micromodels of two-dimensional pore structures. Within the experimental and analysis error (around 10&ndash;15%), the resulting Pc-Sw-awn surfaces were the same. This suggests that data obtained from either the drainage process or the imbibition process are sufficient to generate the complete functional relationship among Pc-Sw-awn and that the observed hysteresis in Pc-Sw-awn can be modeled by including interfacial area as an additional state variable.</p>","drainage, physics","Daiquan Chen, Laura J. Pyrak-Nolte, Jessica Griffin, Nicholas Giordano"
"121","1116","10.4231/D3PV6B70H","Relating Capillary Pressure to Interfacial Areas - S70","Supplementary materials for the paper: Relating capillary pressure to interfacial areas, Water Resour. Res., 44, W06408, 2008, doi:10.1029/2007WR006434.","<p>Experiments were performed on transparent two-dimensional microfluidic porous systems to investigate the relationships among capillary pressure and the interfacial areas per volume between two fluid phases and one solid phase. Capillary pressures were calculated from the observed interfacial curvature of the wetting-nonwetting interface, and these correlated closely to externally measured values of applied pressure. For each applied pressure, the system established mechanical equilibrium characterized by stationary interfaces, uniform curvatures across the model, and random surface normals. To study the relationships among capillary pressure and the interfacial areas, we compare the curvature-based capillary pressure with the differential change in interfacial areas per volume as a function of wetting-phase saturation. The differential pressure contributions calculated from the experimental measurements are found to be nearly independent of the measured capillary pressure. These results suggest that other contributions to the capillary pressure must be significant when imbibition and drainage processes result in saturation gradients.</p>","drainage, physics","Laura J. Pyrak-Nolte, David Nolte, Daiquan Chen, Nicholas Giordano"
"123","1118","10.4231/D3P26Q35R","Critical Engineering Literacy Test (CELT)","The CELT download includes the blueprint for writing assessment items, and the content of the assessment itself. This version (4.1) includes 2 parts, one on an engineering topic, and one on a biology topic.","The CELT download includes the blueprint for writing assessment items, and the content of the assessment itself. This version (4.1) has 2 parts, one on an engineering topic, and one on a biology topic. The correct responses are not indicated in this version of the CELT. If you wish to use this instrument with your students, please contact a member of the research team to obtain the answers.","assessment, education, engineering education, environmental engineering","Michael Fosmire, Ruth Wertz, Senay Purzer"
"749","1118","10.4231/R7668B33","Critical Engineering Literacy Test (CELT)","The CELT download includes the blueprint for writing assessment items, and the content of the assessment itself. This version (4.1) includes 2 parts, one on an engineering topic, and one on a biology topic.","<p>The CELT download includes the blueprint for writing assessment items, and the content of the assessment itself. This version (4.1) has 2 parts, one on an engineering topic, and one on a biology topic. The correct responses are not indicated in this version of the CELT. If you wish to use this instrument with your students, please contact a member of the research team to obtain the answers.</p>","assessment, education, engineering education, environmental engineering","Michael Fosmire, Ruth Wertz, Senay Purzer, Amy S  Van Epps"
"422","1123","10.4231/D3F47GT6N","An Interview with Alina Marazzi: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking","This video interview with Alina Marazzi, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","<p>This video interview with Alina Marazzi, a leading female Italian film director, accompanies the 2013 book &#39;&#39;Reframing Italy: New Trends in Italian Women&#39;s Filmmaking, by Bernardette Luciano and Susanna Scarparo, and is published in the series Purdue Studies in Romance Literatures by Purdue University Press. In recent years, Italian cinema has experienced a quiet revolution: the proliferation of films by women. But their thought-provoking work has not yet received the attention it deserves. Reframing Italy&#39;&#39; fills this gap. The book introduces readers to films and documentaries by recognized women directors such as Cristina Comencini, Wilma Labate, Alina Marazzi, Antonietta De Lillo, Marina Spada, and Francesca Comencini, as well as to filmmakers whose work has so far been undeservedly ignored. Through a thematically based analysis supported by case studies, Luciano and Scarparo argue that Italian women filmmakers, while not overtly feminist, are producing work that increasingly foregrounds female subjectivity from a variety of social, political, and cultural positions. This book, with its accompanying video interviews, explores the filmmakers&rsquo; challenging relationship with a highly patriarchal cinema industry. The incisive readings of individual films demonstrate how women&rsquo;s rich cinematic production reframes the aesthetic of their cinematic fathers, re-positions relationships between mothers and daughters, functions as a space for remembering women&rsquo;s (hi)stories, and highlights pressing social issues such as immigration and workplace discrimination. This original and timely study makes an invaluable contribution to film studies and to the study of gender and culture in the early twenty-first century.</p>","classical studies, drama, film studies, global languages and literatures, italy, motion pictures, performing arts, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano"
"134","1129","10.4231/D3X63B541","DAMAGED GIRDER - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges","Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges","<p>Guidelines for conducting heat straightening repair have been developed by FHWA and many DOTS. The guidelines establish limits for: (a) the maximum damage that can be repaired, (b) the maximum restraining force, and %(c%) the maximum heating temperature to prevent the side effects of heat straightening repair process. However the heat straightening guidelines are violated in the field due to time and economic issues. These violations include, but are not limited to: (a) under heating below 1200&deg;F, (b) over heating above 1200&deg;F, %(c%) over straining above restraining force limit (0.5 M,,p,,) and (d) multiple heat straightening of the same beam more than two times. Currently, there is a lack of knowledge of the effects of these imperfections in the heat straightening repair process on the condition and serviceability of the damaged-repaired beams. This knowledge is needed to develop more realistic guidelines for evaluating and replacing bridge members subjected to damage followed by imperfect heat straightening repair. The overall goal of this research is to develop recommendations and guidelines for evaluating steel beam bridges in Indiana subjected to damage followed by heat straightening repair with imperfections (overstraining, overheating, or multiple heat straightening).</p>","civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn"
"135","1130","10.4231/D3NS0KX8Z","FORCE SYSTEM 1 - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges","Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges","<p>Guidelines for conducting heat straightening repair have been developed by FHWA and many DOTS. The guidelines establish limits for: (a) the maximum damage that can be repaired, (b) the maximum restraining force, and %(c%) the maximum heating temperature to prevent the side effects of heat straightening repair process. However the heat straightening guidelines are violated in the field due to time and economic issues. These violations include, but are not limited to: (a) under heating below 1200&deg;F, (b) over heating above 1200&deg;F, %(c%) over straining above restraining force limit (0.5 M,,p,,) and (d) multiple heat straightening of the same beam more than two times. Currently, there is a lack of knowledge of the effects of these imperfections in the heat straightening repair process on the condition and serviceability of the damaged-repaired beams. This knowledge is needed to develop more realistic guidelines for evaluating and replacing bridge members subjected to damage followed by imperfect heat straightening repair. The overall goal of this research is to develop recommendations and guidelines for evaluating steel beam bridges in Indiana subjected to damage followed by heat straightening repair with imperfections (overstraining, overheating, or multiple heat straightening).</p>","civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Young Moo Sohn, Amit H. Varma"
"136","1131","10.4231/D3J09W45G","FORCE SYSTEM 2 - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges","Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges","<p>Guidelines for conducting heat straightening repair have been developed by FHWA and many DOTS. The guidelines establish limits for: (a) the maximum damage that can be repaired, (b) the maximum restraining force, and %(c%) the maximum heating temperature to prevent the side effects of heat straightening repair process. However the heat straightening guidelines are violated in the field due to time and economic issues. These violations include, but are not limited to: (a) under heating below 1200&deg;F, (b) over heating above 1200&deg;F, %(c%) over straining above restraining force limit (0.5 M,,p,,) and (d) multiple heat straightening of the same beam more than two times. Currently, there is a lack of knowledge of the effects of these imperfections in the heat straightening repair process on the condition and serviceability of the damaged-repaired beams. This knowledge is needed to develop more realistic guidelines for evaluating and replacing bridge members subjected to damage followed by imperfect heat straightening repair. The overall goal of this research is to develop recommendations and guidelines for evaluating steel beam bridges in Indiana subjected to damage followed by heat straightening repair with imperfections (overstraining, overheating, or multiple heat straightening).</p>","civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Young Moo Sohn, Amit H. Varma"
"137","1132","10.4231/D3SF2MC0W","ADJUSTING FORCE - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges","Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges","<p>Guidelines for conducting heat straightening repair have been developed by FHWA and many DOTS. The guidelines establish limits for: (a) the maximum damage that can be repaired, (b) the maximum restraining force, and %(c%) the maximum heating temperature to prevent the side effects of heat straightening repair process. However the heat straightening guidelines are violated in the field due to time and economic issues. These violations include, but are not limited to: (a) under heating below 1200&deg;F, (b) over heating above 1200&deg;F, %(c%) over straining above restraining force limit (0.5 Mp) and (d) multiple heat straightening of the same beam more than two times. Currently, there is a lack of knowledge of the effects of these imperfections in the heat straightening repair process on the condition and serviceability of the damaged-repaired beams. This knowledge is needed to develop more realistic guidelines for evaluating and replacing bridge members subjected to damage followed by imperfect heat straightening repair. The overall goal of this research is to develop recommendations and guidelines for evaluating steel beam bridges in Indiana subjected to damage followed by heat straightening repair with imperfections (overstraining, overheating, or multiple heat straightening).</p>","civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn"
"138","1133","10.4231/D3D795B1Q","TEMPERATURE - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges","Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges","<p>Guidelines for conducting heat straightening repair have been developed by FHWA and many DOTS. The guidelines establish limits for: (a) the maximum damage that can be repaired, (b) the maximum restraining force, and %(c%) the maximum heating temperature to prevent the side effects of heat straightening repair process. However the heat straightening guidelines are violated in the field due to time and economic issues. These violations include, but are not limited to: (a) under heating below 1200&deg;F, (b) over heating above 1200&deg;F, %(c%) over straining above restraining force limit (0.5 M,,p,,) and (d) multiple heat straightening of the same beam more than two times. Currently, there is a lack of knowledge of the effects of these imperfections in the heat straightening repair process on the condition and serviceability of the damaged-repaired beams. This knowledge is needed to develop more realistic guidelines for evaluating and replacing bridge members subjected to damage followed by imperfect heat straightening repair. The overall goal of this research is to develop recommendations and guidelines for evaluating steel beam bridges in Indiana subjected to damage followed by heat straightening repair with imperfections (overstraining, overheating, or multiple heat straightening).</p>","civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn"
